ID,适用范围,主要技术特点及应用效果,技术产品名称,修改时间,EXCHANGETIME
-2134900736,适用于供水系统、循环水系统水泵系统建设与节能改造,高效率低能耗,高效节能中开式双吸泵和端吸泵,1/1/2020 00:00:00,3/6/2024 21:02:42
-2113929216,适用户外道路、广场、厂房、大型活动场所照明,光大新钠灯可替换传统高压钠灯，两者的材料、结构、工艺是类似的，生产成本消耗相近，光大新钠灯比传统高压钠灯综合节电50%以上。,新钠灯照明节能技术,1/1/2020 00:00:00,3/6/2024 21:02:42
-2046820352,适用于超市、商场、购物中心、医院、公共服务部门等场合的照明,无需特别安装，无需人员控制，自动调节灯光色温亮度,物联网智能照明灯具,1/1/2020 00:00:00,3/6/2024 21:02:42
-2042626048,餐饮业油烟净化,"1 高效处理率
2 对厨房操作间及管道有杀毒灭菌功效（满足医院消杀要求）
3 节能，静音
4 无二次污染
5 无安全隐患
6无需专业清洗
7 低温低压工作，杜绝火灾隐患
8 前端工艺，第一时间分解有机废气，防止管道内部积压，避免安全隐患
9配合专利技术，让废气高浓度输入，减少风量损耗
10，安装改造简单，操作便捷，风机联动，电子数控。",超短紫外线油烟分解技术,1/1/2020 00:00:00,3/6/2024 21:02:42
-2038431744,城镇污水处理厂深度处理、微污染废水净化处理领域,"1 轻质微孔活性陶瓷颗粒作为滤料，主要成分：氧化铝，比重1.1—1.2 g/cm3，用于污水处理终端，可以避免微生物积累粘连，不用化学清洗，仅用产水即可脱附。用于含油污水处理，可以使微小油滴聚集长大，但不粘连滤料，通过反洗可排出。
2 反冲洗采用压缩空气为动力，反洗水仅作为带出污物的载体，分层分区逐步清洗，滤料可以沸腾循环，彻底解决了滤料板结问题，反洗后100%恢复设计流量。
3 出水配置在线参数控制仪，通过程序控制保持长期稳定运行状态。
4 最高精度0.1微米，用于污水处理终端可以替代超滤膜。出水指标与超滤膜在同一范围。",节能微滤罐技术与成套装备系统,1/1/2020 00:00:00,3/6/2024 21:02:42
-2021654528,室内照明,"1、灯具的全部发光受控，分布于120°的全光角范围 —— 光有效利用率高。
2、无横向发光 —— 无眩光，不刺眼，照明视觉感受好。
3、50%峰值光强主光区达86.7°，且曲线底部完美平滑 —— 均匀度高，照明效果好。
4、亮度高，每瓦达近60cd光强。
5、由于没有眩光的光学结构特点，该技术应用在专业市场非常适合。",柔光型LED平板灯,1/1/2020 00:00:00,3/6/2024 21:02:42
-2000683008,适用于中小功率电动机系统,无,磁悬浮离心鼓风机,1/1/2020 00:00:00,3/6/2024 21:02:42
-1996488704,工业企业热工艺过程。,无,废热蒸汽纯化增压回收装置,1/1/2020 00:00:00,3/6/2024 21:02:42
-1962934272,废水和其它水质脱盐处理及循环冷却水回收利用。,无,净元电容析旁流水处理器,1/1/2020 00:00:00,3/6/2024 21:02:42
-1958739968,适用于极寒环境及不具备市政供电环境下照明,无,基于石墨烯技术的物联网光伏路灯,1/1/2020 00:00:00,3/6/2024 21:02:42
