附件7,,,,,,,,,
北京市延庆区卫生健康委员会2022年区跨部门双随机市场监管领域随机抽查结果,,,,,,,,,
序号,抽查计划名称,检查任务名称,检查对象名称,检查内容,检查部门,检查日期,检查结果,,
1,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京市四时春饭店,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-26,未发现开展本次抽查涉及的经营活动,,
2,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京清新阳光酒店管理有限公司,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-22,发现问题已责令改正,,
3,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京芷兰雅聚农家院餐厅,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-22,通过登记的住所（经营场所）无法联系,,未发现开展本次抽查涉及的经营活动
4,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京龙聚阁餐厅,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-22,通过登记的住所（经营场所）无法联系,,
5,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京怡康苑宾馆有限责任公司,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-22,未发现问题,,
6,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京康城福源旅馆,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-22,通过登记的住所（经营场所）无法联系,,
7,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京富春山居旅游专业合作社,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-22,"主体已经注销,不参与本次双随机抽查工作",,
8,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京国家高山滑雪有限公司酒店分公司,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-22,未发现问题,,
9,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京晓清酒店管理有限公司,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-22,未发现问题,,
10,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京闲庭陋舍农家院餐厅,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-22,发现问题已责令改正,,
