技术领域,序号,技术产品名称,主要技术特点及应用效果,申报单位,行业专家主要推荐理由
固废减量化及资源化,1,一种厨余垃圾热水解-制浆耦合高效厌氧技术,该技术首次应用于厨余垃圾处理，其中热水解使厨余垃圾快速熟化、细胞物质水解破壁，无需破袋、分拣、筛分，缩短预处理工艺链；水力旋流制浆集除杂、制取浓浆于一体，其中无机质、油脂从浆液中分出，无机残渣脱水外运，油脂进行资源回收；高浓度浆液高效厌氧消化产沼气，实现能源的循环利用。该技术工艺链短、包容性强、稳定性强，设备高度集成化、智能化。可实现残渣率＜15%，残渣含水率＜60%，有机质提取率＞80%，厌氧调试周期缩短50%，沼气产率提高30%以上。,北京洁绿环境科技股份有限公司,本技术是一种厨余垃圾预处理技术，通过热水解和水力制浆使细胞破壁，与传统预处理工艺相比具有流程短、设备简单等特点，能够大幅提高后端厌氧处理沼气产出率、有机质分解率，缩短处理周期，具有较大推广前景。
,2,一种污泥连续式热水解预处理技术,该技术为国外序批式热水解技术经创新开发和系统设计形成，实现了在热水解过程中连续进、出料的处理。其技术特点：设备数量、占地面积减少50%；热水解罐内温度压力恒定，低粘度环境保证传热均匀性，蒸汽用量少，搅拌能耗低；设备利用率高，增加污泥中有机质的溶出效率，提高沼气产率；连续式工艺阀门、泵组减少50%，操作简便，故障少，较稳定；配套缓冲罐等压排料，稳定性高且避免阀门和管路磨损。应用效果：污泥减量化可达70-80%，沼气产率提升30%，无需添加絮凝剂，泥饼含水率可低于50%，总运行成本低。,北京洁绿环境科技股份有限公司,本技术属于污泥预处理技术，实现了污泥热水解处理的连续反应，具有自动化程度高、稳定性好、设备损耗低等特点，节能、节水效果显著，建设、运行成本较低，具有较大的推广前景。
固废减量化及资源化,3,一种集成式智能发酵技术,该技术在高度集成和全密闭的装备内实现有机固废好氧发酵处理，生产过程由智能机器人完成，通过实时监测与反馈控制模式，实现一键启动、智能运行，相对传统工艺形式发酵周期可缩短1/2以上，人工费减少约60%、土地资源节约33%以上，智能发酵无厌氧环境，间接CO2及直接CH4、N2O排放低；产物无害化、减量化程度高，资源回收价值高。,北京创臻环境技术有限公司,该集成式智能发酵装备具有高度集成化、自动化、智能化等特点，可精确控制物料配比、供气策略、堆料温度、臭气的收集与处理等环节，资源化率高，节能降耗效果好。
,4,一种全量化回收有机质的厨余垃圾预处理技术-分解分离技术,该技术采用水力疏解原理，将厨余垃圾分解分离为有机质和不可生物降解的杂质组分，实现了全量化的有机质和粗油脂提取，回收率较机械技术提高30%以上，为厨余垃圾的后续资源化利用提供了关键支撑。实践证明，该技术具有工艺流程短，全自动运行，运行稳定性强，单线处理量大（10~60t/h），节约用地30%以上；对垃圾分类要求低，可处理各类混合厨余垃圾，浆液细腻，沼气转化率高，显著提升碳减排量；浆液杂质剔除彻底，有利于厌氧系统的长期高效稳定运行等多项优势。,中国环境保护集团有限公司,本技术是一种厨余垃圾预处理技术，采用水力制浆原理将厨余垃圾分解分离，具有有机质回收率高、物料适应性强、占地小、稳定性高等特点，在当前生活垃圾分类背景下对厨余和餐厨垃圾处理具有很大的推广前景。
,5,一种满足多源多场景需求的建筑垃圾资源化处置成套技术,该技术针对建筑垃圾来源多样、体量巨大、成分复杂的特点，攻克了轻重物料分选精度差，小粒径杂物去除效率低的技术难题，开发了基于风力与振动耦合的系列分选设备，形成了精细化梯度除杂成套工艺，满足多源多场景需求，实现了轻物质分选率达98.5%，资源化率超过95%，再生骨料产品含杂率低于0.3%，均优于国家标准的相关要求。,北京建工资源循环利用有限公司,开发了建筑垃圾原位处理成套工艺、模块化处理工艺、装修垃圾成套处理工艺，制定了建筑垃圾综合利用方案，实现建筑垃圾大规模再生利用。
,6,一种高污染废活性炭再生与尾气治理技术,该技术以中高温绝氧裂解技术对高有机污染废活性炭进行再生和活化，再生后活性炭回用至吸附过程；配套尾气处理系统，应用高温焚烧技术，将再生气中污染物无害化焚毁后，经过急冷、脱酸、除尘、脱硝后，无害化烟气排放至大气。该方法应用于吸附高酸、高氯、高氮、高硫等高毒有机物的活性碳的再生过程，活性炭再生率超过90%，再生活化后活性炭吸附能力（碘值）能够达到新活性炭的水平。应用该技术不仅降低新鲜活性炭的消耗，而且减少了危废活性炭的处理量，实现了固体废物（危废）的减量化和资源化，具有节能、降耗、低碳环保等特点。,北京森麟技术有限公司,该装置采用高温绝氧热解工艺将活性炭中的有害物质分解为小分子物质，再通过高温水蒸气活化实现活性炭功能再生，适用于农药、医药行业产生的废活性炭再生。
固废减量化及资源化,7,一种有机固废一体化智能好氧发酵技术,该技术首创了一体化智能好氧发酵系统，集成物料输送、生物灭菌、生物干燥、智能除臭、工艺监测、人工智能等全部技术和软件于一体，智能环保机器人一站式完成好氧发酵过程的进料、排料、破碎、混料、平料、匀翻、发酵、供氧、排风、输送、除臭、监测、控制等多项组合作业，实现一键启动、智能化无人操作，取代复杂的智力劳动和繁重的体力劳动，解决了有机固废处理的“毒、脏、臭、累”等行业难题。该技术将有机固废转化为肥料基质等资源，变废为宝、循环利用，且无废水、废气和固废排放，较传统工艺降低能耗约50%。,北京中科博联科技集团有限公司,本智能好氧发酵系统可替代传统工艺自动完成发酵过程，实现实时智能监测和反馈控制，具有连续运行、缩短发酵周期、密闭保温、一体除臭、组合曝气等优势。
,8,一种固体废物（含危险废物）污染防治与信息化监管服务技术,该技术通过线上+线下相结合的模式，对产废单位固体废物进行环境污染治理全过程托管服务，对废弃物从产生、收集、贮存、转移到处置提供全生命周期的规范化服务方案，通过技术化手段实现废弃物资源化、减量化。同时应用“e联单环境管理云平台”帮助企业实现规范化的数据统计和申报，实现环境信息公开。该技术在帮助企业处置废弃物的同时，有利于生态环境管理部门数据溯源监管和相关需求企业生产决策。2021年应用该技术帮助产废单位处理危险废物4689余吨，平台用户已达2千余家。,北京鼎元汇丰环保技术有限责任公司,以e联单环境管理云平台为依托，赋能固体废物领域，达到环境信息公开和对固体废物溯源管控，使固体废物在平台实现规范化、信息化管理。
,9,一种多固废协同的固废基胶凝材料混凝土生产应用技术,该技术是以钢铁冶金渣和尾矿废石等多种固体废弃物为原料，以复盐效应为反应驱动力，在钢渣和脱硫石膏的协同下使硅酸盐矿物颗粒参与水化硬化反应，硅(铝）氧四面体解聚与再聚合与硅的四配位同构化效应进一步协同，使得固废胶凝混凝土产生良好的强度和耐久性。该技术提高了多种固体废弃物的综合利用率，每吨固废基胶凝材料可减排0.5t的CO2，同时减少炸药产生的NOx 500kg、碎石产生的1m以下岩石粉尘54.2kg/km3，具有较好的经济和环境效益。,北京科技大学,将钢铁冶金渣等多种固体废物进行单独或混合粉磨，制备新型固废基胶凝材料，用以制备固废基混凝土，具有良好的强度和耐久性。
固废减量化及资源化,10,一种利用空气动力消除泡沫的智控技术,该技术是根据空气动力学原理，利用发酵系统自备的无菌压缩空气为动力，将大量的泡沫迅速彻底地吞噬掉并还原为料液 。当具有一定压强的气流，按特定的方向流动并通过吞沫机的贯通式螺旋喷腔时，即在吞沫机周围形成一个负压区，大量挤压在吞沫机周围的泡沫，在负压所形成的空吸作用下，通过各环型吸沫口被吸入该机管腔，在空气动力的作用下将泡沫击碎雾化，液体顺着射流方向与原来料液溶为一体，气体顺着排气管道排出罐外。技术可节省消泡剂用量50～100%，提高产量3～10%，杜绝逃液冒罐现象的发生。,北京博硕德恒科技开发有限公司,该成套设备以好氧发酵工艺中无菌压缩空气为动力，将大量泡沫雾化还原为料液，适用于生物好氧发酵等产生一般粘滞性气泡消泡处理。
