延庆区应急管理局2022年度双随机抽查结果,,,,,,,
序号,抽查计划名称,检查任务名称,检查对象名称,检查内容,检查部门,检查日期,检查结果
1,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京明和堂医药有限公司第一分店,疏散通道,区应急局,2022.4.9,未发现明显问题
2,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京舜华园大酒店管理有限公司,标志标识,区应急局,2022.4.9,未发现明显问题
3,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京四路聚饭店,疏散通道,区应急局,2022.4.9,未发现明显问题
4,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,中国石化销售股份有限公司北京延庆京西加油站,生产经营单位对安全生产监督检查人员依法履行监督检查职责,区应急局,2022.4.10,合格
5,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京明和堂医药有限公司第二十七分店,经营场所紧急疏散要求、标志明显、保持畅通的出口，出口未锁闭、封堵,区应急局,2022.4.10,合格
6,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京装丽福利钢窗厂,生产经营单位在有较大危险因素的生产经营场所和有关设施、设备上，设置明显的安全警示标志,区应急局,2022.4.10,合格
7,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京京能清洁能源电力股份有限公司延庆光伏发电分公司,生产经营单位对安全生产监督检查人员依法履行监督检查职责,区应急局,2022.4.10,合格
8,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京市中银酒店有限公司,经营场所紧急疏散要求、标志明显、保持畅通的出口，出口未锁闭、封堵,区应急局,2022.4.11,合格
9,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京中踏鞋业有限公司延庆购物广场,经营场所紧急疏散要求、标志明显、保持畅通的出口，出口未锁闭、封堵,区应急局,2022.4.11,合格
10,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京桑普新源技术有限公司,生产经营单位对安全生产监督检查人员依法履行监督检查职责，是否予以配合,区应急局,2022.4.11,合格
11,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,中电智慧综合能源有限公司,生产经营单位对安全生产监督检查人员依法履行监督检查职责，是否予以配合,区应急局,2022.4.11,合格
12,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京顺和义餐饮有限责任公司,疏散通道,区应急局,2022.4.11,未发现明显问题
13,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京妫川双信商城有限公司第五分公司,标志标识,区应急局,2022.4.11,未发现明显问题
14,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京杰创特金属门窗有限公司,疏散通道,区应急局,2022.4.11,未发现明显问题
15,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京妫川双信商城有限公司第一分公司,生产经营单位对安全生产监督检查人员依法履行监督检查职责，是否予以配合,区应急局,2022.4.11,合格
16,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京旭康永盛商贸有限公司,生产经营单位对安全生产监督检查人员依法履行监督检查职责，是否予以配合,区应急局,2022.4.11,合格
17,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京维他科技有限公司,生产经营单位对安全生产监督检查人员依法履行监督检查职责，是否予以配合,区应急局,2022.4.11,合格
18,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京市延庆人民商场有限责任公司,警示标志、教育培训,区应急局,2022.4.11,未如实记录安全生产教育培训情况
19,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京环球新意百货有限公司,警示标志、教育培训,区应急局,2022.4.11,未如实记录安全生产教育培训情况
20,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京市延庆区饮食服务总公司同凯酒店,警示标志、教育培训,区应急局,2022.4.11,合格
21,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,沃尔玛（北京）商业零售有限公司延庆妫水北街分店,经营场所紧急疏散要求、标志明显、保持畅通的出口，出口未锁闭、封堵,区应急局,2022.4.11,合格
22,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京妫川华奕酒店有限公司,经营场所紧急疏散要求、标志明显、保持畅通的出口，出口未锁闭、封堵,区应急局,2022.4.11,合格
23,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京京燃北变能源科技有限公司,生产经营单位对安全生产监督检查人员依法履行监督检查职责，是否予以配合,区应急局,2022.4.11,合格
24,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京轻翊科技有限公司,生产经营单位对安全生产监督检查人员依法履行监督检查职责，是否予以配合,区应急局,2022.4.11,合格
25,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京妫川金武圣庭酒店管理有限公司,疏散通道,区应急局,2022.4.12,未发现明显问题
26,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京明和堂医药有限公司第十三分店,警示标志、教育培训,区应急局,2022.4.12,合格
27,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京大隐于世酒店管理有限公司,生产经营单位对安全生产监督检查人员依法履行监督检查职责,区应急局,2022.4.12,合格
28,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京北控庆都水质净化有限公司,生产经营单位对安全生产监督检查人员依法履行监督检查职责,区应急局,2022.4.12,合格
29,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,里炮美丽小镇（北京）旅游开发有限公司,警示标志、教育培训,区应急局,2022.4.12,合格
30,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京明和堂医药有限公司第八分店,警示标志、教育培训,区应急局,2022.4.12,合格
31,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京世园资产运营管理有限责任公司隆庆酒店,生产经营单位对安全生产监督检查人员依法履行监督检查职责，是否予以配合,区应急局,2022.4.12,合格
32,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京铁成博涛工业自动化设备有限公司,警示标志、教育培训,区应急局,2022.4.12,已停业
33,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京颍泽洲酒店管理有限公司,生产经营单位对安全生产监督检查人员依法履行监督检查职责，是否予以配合,区应急局,2022.4.12,合格
34,2022年度延庆区应急局双随机抽查,2022年度延庆区应急局双随机抽查,北京市延庆区饮食服务总公司同祥酒店,周围环境,区应急局,2022.4.12,该企业营业执照已注销
