创新工作室名称,创新工作领域
吴敏华创新工作室,中小学技术课程师资培 养方式方法创新
赵新民创新工作室,内燃设备使用管理及维修
郝贵平创新工作室,火车押运岗位提高动能效益
郝建军创新工作室,焊接技术及焊接材料研发
齐桐悦创新工作室,电力生产经营
周宏磊创新工作室,地下工程
李文龙创新工作室,混凝土
马慧创新工作室,牛群健康及原料质量控制
赵永生创新工作室,"新产品、新材料的应用，
企业标准、管理手册的制定
"
王现海创新工作室,骨科微创手术
赵誉创新工作室,桥梁、轨枕技术开发和创新
詹志远创新工作室,发动机装配
沈骏创新工作室,铁路节能环保产品研发
李刚创新工作室,智能建筑能源监测技术研发
杜杰创新工作室,心血管疾病转化医学
曲剑华创新工作室,中医皮肤病特色诊疗
刘胤创新工作室,学前教育
彭新立创新工作室,电力生产与服务
刘林创新工作室,中国奶牛良种化繁育技术
孙德芝创新工作室,燃气带气作业专用设备研究与开发
王春民创新工作室,电力装备研发
李志刚创新工作室,工艺美术雕漆技艺
牛浩龙创新工作室,整车NVH控制
张大伟创新工作室,大气颗粒物监测技术研究与应用
肖瑞创新工作室,移动无线网络优化
申维真创新工作室,环保领域
李纪华创新工作室,移动网络大数据分析及预研
靳晖创新工作室,城市轨道交通技术研究与开发
黄冀东创新工作室,蜂产品功能食品的研究与开发
史继峰创新工作室,病毒性疾病新药研发及产业化
康春博创新工作室,胃肠道疾病手术与康复科研与临床
王晶晶创新工作室,综合交通运行监测与调度
陈彪创新工作室,电子封装用超微细键合丝研发生产
刘建兵创新工作室,智慧养老电子传感技术
孙景来创新工作室,城市地下空间防灾减灾
张全贵创新工作室,混凝土质量控制及性能研究
张建新创新工作室,体温筛查智能装备
张宏家创新工作室,心血管疾病精准医学
赵小平创新工作室,精密工程测量、智慧测绘
徐鹏创新工作室,选矿技术研究与升级
刘学创新工作室,汽车发动机研发与制造
王涛创新工作室,军用通信技术研究、开发及服务
刘朝辉创新工作室,先进电驱动
何婷婷创新工作室,园林植物绿色生态综合防治
曹迪尼创新工作室,建筑
王凤琴创新工作室,冶金过程仿真及二级控制模型
李建武创新工作室,机电设备安装
